id,Wifi Hotspot Name,Address,Suburb,Latitude,Longitude
1,Annerley Library Wifi,450 Ipswich Road,"Annerley, 4103",-27.50942285,153.0333218
2,Ashgrove Library Wifi,87 Amarina Avenue,"Ashgrove, 4060",-27.44394629,152.9870981
3,Banyo Library Wifi,284 St. Vincents Road,"Banyo, 4014",-27.37396641,153.0783234
4,Bracken Ridge Library Wifi,Corner Bracken and Barrett Street,"Bracken Ridge, 4017",-27.31797261,153.0378735
5,Brisbane Square Library Wifi,"Brisbane Square, 266 George Street","Brisbane, 4000",-27.47091173,153.0224598
6,Bulimba Library Wifi,Corner Riding Road & Oxford Street,"Bulimba, 4171",-27.45203086,153.0628242
7,Carina Library Wifi,Corner Mayfield Road & Nyrang Street,"Carina, 4152",-27.49169314,153.0912127
8,Carindale Library Wifi,"The Home and Leisure Centre, Corner Carindale Street  & Banchory Court, Westfield Carindale Shopping Centre","Carindale, 4152",-27.50475928,153.1003965
9,Chermside Library Wifi,375 Hamilton  Road,"Chermside, 4032",-27.3856032,153.0349028
10,Coopers Plains Library Wifi,107 Orange Grove Road,"Coopers Plains, 4108",-27.56510509,153.0403183
11,Corinda Library Wifi,641 Oxley Road,"Corinda, 4075",-27.53880237,152.9809091
12,Everton Park Library Wifi,561 South Pine Road,"Everton park, 4053",-27.4053336,152.9904205
13,Fairfield Library Wifi,"Fairfield Gardens Shopping Centre, 180 Fairfield Road","Fairfield, 4103",-27.50909038,153.0259709
14,Garden City Library Wifi,"Garden City Shopping Centre, Corner Logan and Kessels Road","Upper Mount Gravatt, 4122",-27.56244221,153.0809183
15,Grange Library Wifi,79 Evelyn Street,"Grange, 4051",-27.42531193,153.0174728
16,Hamilton Library Wifi,Corner Racecourt Road and Rossiter Parade,"Hamilton, 4007",-27.43790137,153.0642227
17,Holland Park Library Wifi,81 Seville Road,"Holland Park, 4121",-27.52292286,153.0722921
18,Inala Library Wifi,"Inala Shopping centre, Corsair Ave","Inala, 4077",-27.59828574,152.9735217
19,Indooroopilly Library Wifi,"Indrooroopilly Shopping centre, Level 4, 322 Moggill Road","Indooroopilly, 4068",-27.49764287,152.9736471
20,Kenmore Library Wifi,"Kenmore Village Shopping Centre, Brookfield Road","Kenmore, 4069",-27.50592852,152.9386437
21,Mitchelton Library Wifi,37 Helipolis Parada,"Mitchelton, 4053",-27.41704165,152.9783402
22,Mt Coot-tha Botanic Gardens Library Wifi,"Administration Building, Brisbane Botanic Gardens (Mt Coot-tha), Mt Coot-tha Road","Toowong, 4066",-27.47529908,152.9760412
23,Mt Gravatt Library Wifi,8 Creek Road,"Mt Gravatt, 4122",-27.53855482,153.0802628
24,Mt Ommaney Library Wifi,"Mt Ommaney Shopping Centre, 171 Dandenong Road","Mt Ommaney, 4074",-27.54824198,152.9378099
25,New Farm Library Wifi,135 Sydney Street,"New Farm, 4005",-27.46736574,153.0495841
26,Nundah Library Wifi,1 Bage Street,"Nundah, 4012",-27.40125908,153.0583751
27,Sandgate Library Wifi,Seymour Street,"Sandgate, 4017",-27.32060523,153.0704927
28,Stones Corner Library Wifi,280 Logan Road,"Stones Corner, 4120",-27.49803575,153.043655
29,Sunnybank Hills Library Wifi,"Sunnybank Hills Shopping Centre, Corner Compton and Calam Roads","Sunnybank Hills, 4109",-27.6109253,153.0550706
30,Toowong Library Wifi,"Toowon Village Shopping Centre, Sherwood Road","Toowong, 4066",-27.48505116,152.9925091
31,West End Library Wifi,178 - 180 Boundary Street,"West End, 4101",-27.48245078,153.0120763
32,Wynnum Library Wifi,"Wynnum Civic Centre, 66 Bay Terrace","Wynnum, 4178",-27.44244894,153.1731968
33,Zillmere Library Wifi,Corner Jennings Street and Zillmere Road,"Zillmere, 4034",-27.36014232,153.0407898
34,New Farm Park Wifi,Brunswick Street,New Farm,"-27.47046,",153.05223
35,City Botanic Gardens Wifi,Alice Street,Brisbane City,-27.47561,153.03005
